country,Country Code,year,exports,imports,trade_difference
Brazil,BRA,2000,10.1880480043795,12.4517133524146,-2.2636653480351008
Brazil,BRA,2001,12.37171066993,14.564574352134,-2.192863682204001
Brazil,BRA,2002,14.2305902713775,13.3877671308534,0.8428231405241
Brazil,BRA,2003,15.1807837086861,12.9596010144732,2.2211826942128994
Brazil,BRA,2004,16.5457615119353,13.1324909668183,3.4132705451169993
Brazil,BRA,2005,15.2438292665623,11.8429659377691,3.4008633287932
Brazil,BRA,2006,14.3743163038801,11.6673835879099,2.7069327159702006
Brazil,BRA,2007,13.3276751040789,11.9649362714605,1.3627388326183993
Brazil,BRA,2008,13.5340005128387,13.7235689045173,-0.18956839167860018
Brazil,BRA,2009,10.8513711347491,11.2546044712842,-0.4032333365351004
Brazil,BRA,2010,10.8655847752557,11.9065933379213,-1.041008562665601
Brazil,BRA,2011,11.5825126785455,12.3518924973266,-0.7693798187811005
Brazil,BRA,2012,11.8775390704316,13.2367345403083,-1.359195469876699
Brazil,BRA,2013,11.7422306460189,14.0437266814484,-2.3014960354294995
Brazil,BRA,2014,11.0119428190539,13.6734629940752,-2.6615201750213
Brazil,BRA,2015,12.900191418386,14.0534345189741,-1.1532431005881012
Brazil,BRA,2016,12.4666790429968,12.0670030347037,0.3996760082931008
Brazil,BRA,2017,12.5189678698768,11.8007665044289,0.7182013654479
Brazil,BRA,2018,14.6349994955075,14.2412038808791,0.3937956146284005
Brazil,BRA,2019,14.1229191913178,14.7673386785785,-0.6444194872607003
Brazil,BRA,2020,16.4535520094071,15.8485265343869,0.6050254750202004
Brazil,BRA,2021,19.1094303688709,18.5469003909373,0.5625299779336004
Brazil,BRA,2022,19.6307650034371,19.1853009729027,0.44546403053440287
Brazil,BRA,2023,17.9693243032741,15.6969055268697,2.2724187764043986
China,CHN,2000,20.681599363293,18.3293431142068,2.3522562490861993
China,CHN,2001,20.0776873829946,18.0049595688389,2.0727278141557015
China,CHN,2002,22.3518233715808,19.8426189671605,2.5092044044202986
China,CHN,2003,26.6023738514511,24.4751062787292,2.1272675727219017
China,CHN,2004,30.6097162464404,28.0306177944035,2.5790984520368987
China,CHN,2005,33.3687977498922,27.9912771909315,5.377520558960704
China,CHN,2006,35.5268468681701,28.0427329939926,7.4841138741774955
China,CHN,2007,34.9066956194649,26.3597683811527,8.546927238312197
China,CHN,2008,32.092513602143,24.6186193981779,7.473894203965102
China,CHN,2009,24.3307718125403,20.0889926205716,4.2417791919687
China,CHN,2010,26.7227451502469,23.1313270836509,3.5914180665960025
China,CHN,2011,26.1518828948759,23.7939443304884,2.3579385643874993
China,CHN,2012,25.07670432956,22.4035087488717,2.673195580688297
China,CHN,2013,24.1633430905854,21.7526982889717,2.4106448016136994
China,CHN,2014,23.0719766947263,20.9964797865269,2.0754969081993977
China,CHN,2015,20.9390642234326,17.7581206128298,3.1809436106027995
China,CHN,2016,19.2036507365412,16.9735199564368,2.2301307801043997
China,CHN,2017,19.3356301657728,17.6152224500872,1.7204077156855995
China,CHN,2018,18.770519802938,18.1238645885338,0.6466552144042019
China,CHN,2019,18.1398222864053,17.3146127417354,0.8252095446698995
China,CHN,2020,18.2696013805051,16.0681770933789,2.2014242871262013
China,CHN,2021,19.4350556514909,17.2078233128845,2.227232338606399
China,CHN,2022,20.227756033041,17.28479964513,2.942956387911
China,CHN,2023,19.4023091648376,17.3368405290018,2.065468635835799
France,FRA,2000,29.7580489893129,28.0279980425069,1.7300509468059992
France,FRA,2001,29.4306035099419,27.4626293461303,1.9679741638116006
France,FRA,2002,28.7307017592768,26.4018230910334,2.3288786682434015
France,FRA,2003,27.1369676673944,25.4619146196714,1.6750530477230008
France,FRA,2004,27.5381038597962,26.2116609694066,1.3264428903895968
France,FRA,2005,28.1635565257399,27.65927959839,0.504276927349899
France,FRA,2006,28.9278484836141,28.9414290456532,-0.013580562039102517
France,FRA,2007,28.8585344688926,29.2940266620733,-0.43549219318069987
France,FRA,2008,29.1990596782502,29.9807331629246,-0.7816734846743998
France,FRA,2009,25.8809482311608,26.3181640716005,-0.4372158404396984
France,FRA,2010,27.8264880915553,28.7610671562408,-0.9345790646854972
France,FRA,2011,29.538847336075,31.0667881455656,-1.5279408094905982
France,FRA,2012,30.3556786527444,31.3032784243658,-0.9475997716214017
France,FRA,2013,30.5912853427773,31.2279485306189,-0.6366631878415987
France,FRA,2014,30.741812901515,31.4574540364356,-0.7156411349205989
France,FRA,2015,31.6934947262689,31.8111924693795,-0.11769774311060033
France,FRA,2016,31.498210070063,31.8445463682721,-0.34633629820909917
France,FRA,2017,32.311834044929,33.0840141110421,-0.7721800661131013
France,FRA,2018,32.9179818922164,33.8842788890102,-0.966296996793794
France,FRA,2019,32.8895429451147,33.5394177830602,-0.6498748379455037
France,FRA,2020,28.5572228192655,30.2816679047993,-1.724445085533798
France,FRA,2021,31.2880499332105,32.5004326976615,-1.2123827644510001
France,FRA,2022,36.6160484268785,39.3469593713211,-2.7309109444425985
France,FRA,2023,34.4562568778842,36.1698881831383,-1.713631305254097
Japan,JPN,2000,10.3098888690138,8.96530478392506,1.3445840850887407
Japan,JPN,2001,9.9313252815504,9.34590509890227,0.5854201826481304
Japan,JPN,2002,10.6941179299116,9.44913022539082,1.2449877045207813
Japan,JPN,2003,11.3307927134025,9.74421919693225,1.586573516470251
Japan,JPN,2004,12.6608085791759,10.7716099665173,1.8891986126585998
Japan,JPN,2005,13.6893610021266,12.3015669207116,1.3877940814149987
Japan,JPN,2006,15.4991989877277,14.2156739417573,1.2835250459704
Japan,JPN,2007,17.1190869291448,15.3766330971291,1.7424538320157001
Japan,JPN,2008,17.0550818459886,16.7187207629284,0.3363610830602006
Japan,JPN,2009,12.3084729966275,11.8645663053454,0.44390669128210014
Japan,JPN,2010,14.7827379015469,13.4572771845197,1.3254607170272
Japan,JPN,2011,14.6645262221087,15.3068591337385,-0.6423329116298007
Japan,JPN,2012,14.2739154583775,15.9003840894255,-1.6264686310480005
Japan,JPN,2013,15.6037090812555,17.9876603648252,-2.383951283569699
Japan,JPN,2014,17.1078627742157,19.6564622476125,-2.5485994733967985
Japan,JPN,2015,17.0921099786159,17.6355206100133,-0.5434106313974034
Japan,JPN,2016,15.7223961123124,14.933883194543,0.788512917769399
Japan,JPN,2017,17.2158253394418,16.4730083398364,0.7428169996053988
Japan,JPN,2018,17.9111434788682,17.8924314793812,0.01871199948699953
Japan,JPN,2019,17.0377974181499,17.320499861849,-0.282702443699101
Japan,JPN,2020,15.1286902986314,15.3905323905959,-0.2618420919645015
Japan,JPN,2021,17.4619853799579,17.963407354096,-0.5014219741381005
Japan,JPN,2022,20.647867347033,24.212763673007,-3.5648963259740007
Japan,JPN,2023,21.0593101343597,22.5357732459138,-1.4764631115541
United Kingdom,GBR,2000,25.5563430576261,26.7816781759642,-1.2253351183380978
United Kingdom,GBR,2001,25.4493099773846,27.1849267562592,-1.735616778874597
United Kingdom,GBR,2002,24.4315052325124,26.8046768666199,-2.3731716341075
United Kingdom,GBR,2003,23.9686749011091,26.0994438028613,-2.130768901752198
United Kingdom,GBR,2004,23.9845291728171,26.3040230027962,-2.3194938299790984
United Kingdom,GBR,2005,25.2070017509366,27.3372722873845,-2.1302705364479024
United Kingdom,GBR,2006,27.412859926391,29.2919192465902,-1.8790593201992003
United Kingdom,GBR,2007,25.4079803883281,27.3413721081452,-1.9333917198171022
United Kingdom,GBR,2008,27.3794373670982,29.0571127381622,-1.6776753710640016
United Kingdom,GBR,2009,26.7073659504747,27.9463641581244,-1.2389982076497006
United Kingdom,GBR,2010,28.7463664387355,30.3048137840466,-1.5584473453111016
United Kingdom,GBR,2011,31.2649218986254,32.0591396722646,-0.7942177736392004
United Kingdom,GBR,2012,30.4995388300455,31.469331617208,-0.9697927871625005
United Kingdom,GBR,2013,30.2076160154538,31.5119235000045,-1.304307484550698
United Kingdom,GBR,2014,28.5320090066163,30.2890138267133,-1.757004820097002
United Kingdom,GBR,2015,27.8790736176463,29.2459709877926,-1.366897370146301
United Kingdom,GBR,2016,29.0615561502528,30.7779753635731,-1.7164192133202967
United Kingdom,GBR,2017,30.9738310965649,32.216093479851,-1.2422623832860964
United Kingdom,GBR,2018,31.854534000688,33.0552381952321,-1.2007041945441017
United Kingdom,GBR,2019,31.9028602803155,33.1007061373899,-1.1978458570743982
United Kingdom,GBR,2020,29.9486520576829,29.2112372453782,0.7374148123046993
United Kingdom,GBR,2021,29.2894071087705,29.2489791841395,0.04042792463100042
United Kingdom,GBR,2022,34.0619283837069,35.1369980576912,-1.0750696739843022
